date,tournament
1872,1
1873,1
1874,1
1875,1
1876,2
1877,2
1878,2
1879,3
1880,3
1881,3
1882,5
1883,5
1884,6
1885,7
1886,7
1887,6
1888,7
1889,6
1890,6
1891,6
1892,6
1893,5
1894,6
1895,6
1896,6
1897,6
1898,6
1899,6
1900,6
1901,6
1902,8
1903,9
1904,8
1905,12
1906,14
1907,13
1908,26
1909,19
1910,26
1911,33
1912,35
1913,35
1914,31
1915,16
1916,29
1917,24
1918,17
1919,33
1920,35
1921,54
1922,67
1923,90
1924,83
1925,80
1926,85
1927,79
1928,74
1929,82
1930,98
1931,97
1932,90
1933,93
1934,106
1935,102
1936,83
1937,119
1938,133
1939,85
1940,56
1941,52
1942,56
1943,35
1944,30
1945,64
1946,92
1947,139
1948,124
1949,150
1950,133
1951,97
1952,116
1953,175
1954,149
1955,150
1956,193
1957,221
1958,165
1959,181
1960,211
1961,208
1962,228
1963,266
1964,186
1965,318
1966,313
1967,333
1968,299
1969,346
1970,316
1971,373
1972,408
1973,426
1974,345
1975,357
1976,392
1977,412
1978,336
1979,398
1980,492
1981,466
1982,376
1983,452
1984,536
1985,571
1986,390
1987,358
1988,545
1989,590
1990,433
1991,473
1992,581
1993,733
1994,570
1995,641
1996,830
1997,863
1998,698
1999,739
2000,1026
2001,1018
2002,760
2003,936
2004,1064
2005,804
2006,838
2007,978
2008,1091
2009,897
2010,854
2011,1081
2012,1012
2013,965
2014,860
2015,1003
2016,926
2017,958
2018,905
2019,1155
2020,7
