home_team,variable,value,raw
France,Total Score,0.770,0.770
Belgium,Total Score,0.765,0.765
Germany,Total Score,0.764,0.764
Sweden,Total Score,0.749,0.749
Netherlands,Total Score,0.741,0.741
United States,Total Score,0.728,0.728
Mexico,Total Score,0.727,0.727
Croatia,Total Score,0.719,0.719
Argentina,Total Score,0.716,0.716
Costa Rica,Total Score,0.713,0.713
England,Total Score,0.713,0.713
Portugal,Total Score,0.709,0.709
Chile,Total Score,0.708,0.708
Uruguay,Total Score,0.703,0.703
Switzerland,Total Score,0.702,0.702
Colombia,Total Score,0.700,0.700
Australia,Total Score,0.684,0.684
Honduras,Total Score,0.678,0.678
Egypt,Total Score,0.677,0.677
Ukraine,Total Score,0.676,0.676
France,Win Percent,0.640,0.560
Belgium,Win Percent,0.619,0.542
Germany,Win Percent,0.571,0.500
Sweden,Win Percent,0.675,0.591
Netherlands,Win Percent,0.602,0.526
United States,Win Percent,0.623,0.545
Mexico,Win Percent,0.466,0.407
Croatia,Win Percent,0.527,0.462
Argentina,Win Percent,0.524,0.458
Costa Rica,Win Percent,0.484,0.423
England,Win Percent,0.519,0.455
Portugal,Win Percent,0.544,0.476
Chile,Win Percent,0.807,0.706
Uruguay,Win Percent,0.476,0.417
Switzerland,Win Percent,0.468,0.409
Colombia,Win Percent,0.497,0.435
Australia,Win Percent,0.602,0.526
Honduras,Win Percent,0.547,0.478
Egypt,Win Percent,0.791,0.692
Ukraine,Win Percent,0.610,0.533
France,Win Margin,0.853,1.160
Belgium,Win Margin,0.900,1.542
Germany,Win Margin,1.000,2.364
Sweden,Win Margin,0.806,0.773
Netherlands,Win Margin,0.930,1.789
United States,Win Margin,0.795,0.682
Mexico,Win Margin,0.743,0.259
Croatia,Win Margin,0.763,0.423
Argentina,Win Margin,0.757,0.375
Costa Rica,Win Margin,0.740,0.231
England,Win Margin,0.867,1.273
Portugal,Win Margin,0.839,1.048
Chile,Win Margin,0.748,0.294
Uruguay,Win Margin,0.752,0.333
Switzerland,Win Margin,0.800,0.727
Colombia,Win Margin,0.812,0.826
Australia,Win Margin,0.718,0.053
Honduras,Win Margin,0.632,-0.652
Egypt,Win Margin,0.702,-0.077
Ukraine,Win Margin,0.907,1.600
France,Total Games,0.926,25.000
Belgium,Total Games,0.889,24.000
Germany,Total Games,0.815,22.000
Sweden,Total Games,0.815,22.000
Netherlands,Total Games,0.704,19.000
United States,Total Games,0.815,22.000
Mexico,Total Games,1.000,27.000
Croatia,Total Games,0.963,26.000
Argentina,Total Games,0.889,24.000
Costa Rica,Total Games,0.963,26.000
England,Total Games,0.815,22.000
Portugal,Total Games,0.778,21.000
Chile,Total Games,0.630,17.000
Uruguay,Total Games,0.889,24.000
Switzerland,Total Games,0.815,22.000
Colombia,Total Games,0.852,23.000
Australia,Total Games,0.704,19.000
Honduras,Total Games,0.852,23.000
Egypt,Total Games,0.481,13.000
Ukraine,Total Games,0.556,15.000
France,Opponent Win Pct,0.663,0.467
Belgium,Opponent Win Pct,0.654,0.460
Germany,Opponent Win Pct,0.670,0.472
Sweden,Opponent Win Pct,0.698,0.492
Netherlands,Opponent Win Pct,0.727,0.512
United States,Opponent Win Pct,0.678,0.477
Mexico,Opponent Win Pct,0.701,0.494
Croatia,Opponent Win Pct,0.623,0.439
Argentina,Opponent Win Pct,0.696,0.490
Costa Rica,Opponent Win Pct,0.666,0.469
England,Opponent Win Pct,0.651,0.458
Portugal,Opponent Win Pct,0.676,0.476
Chile,Opponent Win Pct,0.649,0.457
Uruguay,Opponent Win Pct,0.695,0.490
Switzerland,Opponent Win Pct,0.726,0.511
Colombia,Opponent Win Pct,0.640,0.451
Australia,Opponent Win Pct,0.713,0.502
Honduras,Opponent Win Pct,0.680,0.479
Egypt,Opponent Win Pct,0.731,0.515
Ukraine,Opponent Win Pct,0.632,0.445
